"","id","title","nop","price","rating","publisher","year"
"129",18870,"سلام بر ابراهيم (جلد اول)",239,5600,4.77853260869565,"انتشارات شهيد ابراهيم هادي","spring96"
"130",17862,"رها در باد",480,7500,1.88461538461538,"انتشارات ميلکان","spring96"
"131",20563,"تاريخچه خوشبختي",312,10000,4.41666666666667,"نشر گمان","spring96"
"132",19819,"صفر به يک: نکاتي در مورد استارتاپ‌ها (چگونه آينده را بسازيم)",245,8500,3.67857142857143,"نشر نوين","spring96"
"133",20263,"النور و پارک",340,7000,4.14159292035398,"انتشارات ميلکان","spring96"
"134",6628,"انتخاب‌هاي سخت",572,10000,4,"انتشارات ميلکان","spring96"
"135",19757,"خليج نقره‌اي",440,7000,2.92857142857143,"انتشارات ميلکان","spring96"
"136",19349,"قانون جذب",166,3950,3.78947368421053,"انتشارات نسل نوانديش","spring96"
"137",19247,"مردان مريخي، زنان ونوسي",364,10000,4.06666666666667,"انتشارات نقش‌و‌نگار","spring96"
"138",19344,"کي بود کي بود؟ (چرا و چگونه اشتباهاتمان را توجيه مي‌کنيم؟)",401,16000,4.61538461538462,"نشر گمان","spring96"
"139",18714,"بارون درخت‌نشين",320,10500,4.5,"انتشارات نگاه","spring96"
"140",18817,"کفش باز",340,7000,4.60714285714286,"انتشارات ميلکان","spring96"
"141",12439,"من ديگر ما: جلد اول (مهارت‌هاي تربيت فرزند در دنياي امروز)",120,1200,4.17073170731707,"انتشارات آيين فطرت","spring96"
"142",11128,"چهار اثر از فلورانس اسکاول شين",320,10000,3.2992125984252,"انتشارات طاهريان","spring96"
"143",7240,"پيرمرد صدساله‌اي که از پنجره بيرون پريد و ناپديد شد",444,7500,4.44827586206896,"انتشارات به‌نگار","spring96"
"144",16833,"بار ديگر شهري که دوست مي‌داشتم",108,8000,4.25510204081633,"انتشارات روزبهان","winter95"
"145",17152,"من زنده‌ام",552,12500,4.75524475524476,"انتشارات بروج","winter95"
"146",18020,"وقتي مهتاب گم شد: خاطرات علي خوش‌لفظ",651,15000,4.68243243243243,"انتشارات سوره مهر","winter95"
"147",17860,"پس از تو",456,12000,3.48235294117647,"انتشارات جامي","winter95"
